x-axis,2,4
second,Volt,Volt
-5.00E-05,-6.50E-02,-3.35E-01
-5.00E-05,5.22E-02,-4.35E-01
-4.99E-05,3.55E-02,-1.34E-01
-4.99E-05,-6.50E-02,-3.68E-01
-4.98E-05,-6.50E-02,5.36E-01
-4.98E-05,-6.50E-02,-8.20E-01
-4.97E-05,3.55E-02,-2.34E-01
-4.97E-05,8.57E-02,-4.52E-01
-4.96E-05,1.99E-03,-4.69E-01
-4.96E-05,-4.82E-02,-2.01E-01
-4.95E-05,-6.50E-02,-6.36E-01
-4.95E-05,5.22E-02,-7.87E-01
-4.94E-05,2.03E-01,3.35E-01
-4.94E-05,8.57E-02,-2.85E-01
-4.93E-05,3.55E-02,-6.69E-02
-4.93E-05,-6.50E-02,-8.37E-02
-4.92E-05,1.99E-03,3.35E-01
-4.92E-05,1.02E-01,2.85E-01
-4.91E-05,6.89E-02,4.02E-01
-4.91E-05,-1.47E-02,-8.20E-01
-4.90E-05,1.99E-03,6.69E-02
-4.90E-05,1.99E-03,-5.36E-01
-4.89E-05,3.55E-02,3.35E-01
-4.89E-05,-1.47E-02,3.01E-01
-4.88E-05,1.99E-03,-4.02E-01
-4.88E-05,1.87E-02,2.85E-01
-4.87E-05,3.55E-02,1.67E-01
-4.87E-05,3.55E-02,-3.68E-01
-4.86E-05,6.89E-02,3.35E-01
-4.86E-05,6.89E-02,-8.03E-01
-4.85E-05,-6.50E-02,-3.35E-02
-4.85E-05,1.99E-03,5.02E-02
-4.84E-05,6.89E-02,-2.68E-01
-4.84E-05,5.22E-02,-7.53E-01
-4.83E-05,6.89E-02,-7.03E-01
-4.83E-05,5.22E-02,2.01E-01
-4.82E-05,1.99E-03,-1.34E-01
-4.82E-05,-1.47E-02,-1.84E-01
-4.81E-05,3.55E-02,-6.69E-01
-4.81E-05,-1.47E-02,-3.01E-01
-4.80E-05,1.99E-03,6.69E-02
-4.80E-05,-4.82E-02,5.69E-01
-4.79E-05,1.99E-03,-3.35E-02
-4.79E-05,-1.47E-02,-4.69E-01
-4.78E-05,2.70E-01,3.35E-01
-4.78E-05,1.19E-01,-2.85E-01
-4.77E-05,6.89E-02,4.02E-01
-4.77E-05,-4.82E-02,-7.03E-01
-4.76E-05,6.89E-02,-8.70E-01
-4.76E-05,1.69E-01,-1.00E+00
